ID,AdmArea,Month,Year,TotalAmount,Yearly_Avg
13,Центральный административный округ,Май,2016,1046211200.0,1050505157.97875
25,Центральный административный округ,Июнь,2016,1035468984.0,1050505157.97875
37,Центральный административный округ,Июль,2016,1029532179.83,1050505157.97875
49,Центральный административный округ,Август,2016,1029563915.0,1050505157.97875
61,Центральный административный округ,Сентябрь,2016,1042438615.0,1050505157.97875
73,Центральный административный округ,Октябрь,2016,1065523860.0,1050505157.97875
85,Центральный административный округ,Ноябрь,2016,1072033883.0,1050505157.97875
97,Центральный административный округ,Декабрь,2016,1083268627.0,1050505157.97875
109,Центральный административный округ,Январь,2017,1103915545.5,1083549356.3441668
121,Центральный административный округ,Февраль,2017,1129023935.08,1083549356.3441668
133,Центральный административный округ,Март,2017,1111853811.94,1083549356.3441668
145,Центральный административный округ,Апрель,2017,1115320815.67,1083549356.3441668
157,Центральный административный округ,Май,2017,56222516.13,1083549356.3441668
169,Центральный административный округ,Июнь,2017,1131309445.43,1083549356.3441668
182,Центральный административный округ,Июль,2017,1197215543.72,1083549356.3441668
326,Центральный административный округ,Июль,2018,1231668213.78,1240896843.7983334
314,Центральный административный округ,Июнь,2018,1230541429.98,1240896843.7983334
302,Центральный административный округ,Май,2018,1247099349.01,1240896843.7983334
278,Центральный административный округ,Март,2018,1238932233.52,1240896843.7983334
290,Центральный административный округ,Февраль,2018,1247523024.93,1240896843.7983334
266,Центральный административный округ,Январь,2018,1255932407.09,1240896843.7983334
338,Центральный административный округ,Февраль,2019,1318968869.0,1219241087.7158334
350,Центральный административный округ,Сентябрь,2017,1212037226.66,1083549356.3441668
362,Центральный административный округ,Ноябрь,2018,1249987014.8,1240896843.7983334
374,Центральный административный округ,Октябрь,2018,1236657418.57,1240896843.7983334
386,Центральный административный округ,Сентябрь,2018,1221825452.9,1240896843.7983334
398,Центральный административный округ,Декабрь,2018,1250072335.0,1240896843.7983334
410,Центральный административный округ,Ноябрь,2017,1248661932.0,1083549356.3441668
422,Центральный административный округ,Октябрь,2017,1233226017.0,1083549356.3441668
434,Центральный административный округ,Август,2017,1205424733.0,1083549356.3441668
446,Центральный административный округ,Апрель,2018,1242811612.0,1240896843.7983334
458,Центральный административный округ,Декабрь,2017,1258380754.0,1083549356.3441668
470,Центральный административный округ,Август,2018,1237711634.0,1240896843.7983334
481,Центральный административный округ,Январь,2019,1282372753.0,1219241087.7158334
493,Центральный административный округ,Апрель,2019,1376249632.96,1219241087.7158334
505,Центральный административный округ,Март,2019,1300946634.0,1219241087.7158334
518,Центральный административный округ,Май,2019,1320926822.0,1219241087.7158334
530,Центральный административный округ,Июль,2019,1294459975.0,1219241087.7158334
542,Центральный административный округ,Июнь,2019,1310177657.0,1219241087.7158334
554,Центральный административный округ,Август,2019,1289896855.0,1219241087.7158334
566,Центральный административный округ,Сентябрь,2019,130597783.0,1219241087.7158334
578,Центральный административный округ,Октябрь,2019,1322195308.0,1219241087.7158334
590,Центральный административный округ,Ноябрь,2019,1338087340.0,1219241087.7158334
602,Центральный административный округ,Декабрь,2019,1346013423.63,1219241087.7158334
614,Центральный административный округ,Январь,2020,1387503641.27,1300439016.6883333
626,Центральный административный округ,Февраль,2020,1342359782.32,1300439016.6883333
638,Центральный административный округ,Март,2020,1354303732.14,1300439016.6883333
650,Центральный административный округ,Апрель,2020,1128903692.78,1300439016.6883333
662,Центральный административный округ,Май,2020,1128787326.7,1300439016.6883333
674,Центральный административный округ,Июнь,2020,1112187632.66,1300439016.6883333
686,Центральный административный округ,Июль,2020,1361095963.83,1300439016.6883333
698,Центральный административный округ,Август,2020,1348579151.0,1300439016.6883333
709,Центральный административный округ,Сентябрь,2020,1339981091.29,1300439016.6883333
721,Центральный административный округ,Октябрь,2020,1351154922.05,1300439016.6883333
733,Центральный административный округ,Ноябрь,2020,1360154861.83,1300439016.6883333
745,Центральный административный округ,Декабрь,2020,1390256402.39,1300439016.6883333
757,Центральный административный округ,Январь,2021,1390256402.39,1393470895.3183334
769,Центральный административный округ,Февраль,2021,1369971528.59,1393470895.3183334
781,Центральный административный округ,Март,2021,1385675904.84,1393470895.3183334
793,Центральный административный округ,Апрель,2021,1384333329.46,1393470895.3183334
805,Центральный административный округ,Май,2021,1399711506.75,1393470895.3183334
817,Центральный административный округ,Июнь,2021,1388763616.68,1393470895.3183334
829,Центральный административный округ,Июль,2021,1392154989.93,1393470895.3183334
841,Центральный административный округ,Август,2021,1381415073.39,1393470895.3183334
853,Центральный административный округ,Сентябрь,2021,1374895973.6,1393470895.3183334
865,Центральный административный округ,Октябрь,2021,1395232174.22,1393470895.3183334
878,Центральный административный округ,Ноябрь,2021,1426668016.12,1393470895.3183334
890,Центральный административный округ,Декабрь,2021,1432572227.85,1393470895.3183334
902,Центральный административный округ,Январь,2022,1492389944.41,1496793997.3008335
914,Центральный административный округ,Февраль,2022,1503652101.24,1496793997.3008335
926,Центральный административный округ,Март,2022,1501570468.92,1496793997.3008335
938,Центральный административный округ,Апрель,2022,1459960987.87,1496793997.3008335
950,Центральный административный округ,Май,2022,1458476253.55,1496793997.3008335
963,Центральный административный округ,Июнь,2022,1466787337.45,1496793997.3008335
975,Центральный административный округ,Июль,2022,1477779057.44,1496793997.3008335
987,Центральный административный округ,Август,2022,1500253073.74,1496793997.3008335
999,Центральный административный округ,Сентябрь,2022,1485758137.79,1496793997.3008335
1011,Центральный административный округ,Октябрь,2022,1511403308.44,1496793997.3008335
1023,Центральный административный округ,Ноябрь,2022,1525619546.67,1496793997.3008335
1035,Центральный административный округ,Декабрь,2022,1577877750.09,1496793997.3008335
1047,Центральный административный округ,Январь,2023,1672841174.19,1677779493.8
1059,Центральный административный округ,Февраль,2023,1670569499.59,1677779493.8
1071,Центральный административный округ,Март,2023,1680960450.37,1677779493.8
1083,Центральный административный округ,Апрель,2023,1679463889.27,1677779493.8
1095,Центральный административный округ,Май,2023,1693621275.98,1677779493.8
1108,Центральный административный округ,Июнь,2023,1678591457.45,1677779493.8
1120,Центральный административный округ,Июль,2023,1654538693.65,1677779493.8
1132,Центральный административный округ,Август,2023,1639782664.75,1677779493.8
1144,Центральный административный округ,Сентябрь,2023,1635698017.57,1677779493.8
1156,Центральный административный округ,Октябрь,2023,1645258741.88,1677779493.8
1169,Центральный административный округ,Ноябрь,2023,1740483615.58,1677779493.8
1181,Центральный административный округ,Декабрь,2023,1741544445.32,1677779493.8
1193,Центральный административный округ,Январь,2024,1773286284.27,1829198641.1008332
1204,Центральный административный округ,Февраль,2024,1795710216.88,1829198641.1008332
1216,Центральный административный округ,Март,2024,1799246409.98,1829198641.1008332
1228,Центральный административный округ,Апрель,2024,1790898781.28,1829198641.1008332
1240,Центральный административный округ,Май,2024,1791158391.35,1829198641.1008332
1252,Центральный административный округ,Июнь,2024,1782859871.12,1829198641.1008332
1264,Центральный административный округ,Июль,2024,1819215658.33,1829198641.1008332
1276,Центральный административный округ,Август,2024,1874717626.17,1829198641.1008332
1288,Центральный административный округ,Сентябрь,2024,1863198365.81,1829198641.1008332
1300,Центральный административный округ,Октябрь,2024,1881543094.17,1829198641.1008332
1312,Центральный административный округ,Ноябрь,2024,1884313837.22,1829198641.1008332
1324,Центральный административный округ,Декабрь,2024,1894235156.63,1829198641.1008332
1336,Центральный административный округ,Январь,2025,2121485813.88,2150436455.8841667
1348,Центральный административный округ,Февраль,2025,2091275188.19,2150436455.8841667
1360,Центральный административный округ,Март,2025,2108247316.03,2150436455.8841667
1372,Центральный административный округ,Апрель,2025,2094000659.18,2150436455.8841667
1384,Центральный административный округ,Май,2025,2100623797.9,2150436455.8841667
1396,Центральный административный округ,Июнь,2025,2088093785.73,2150436455.8841667
1408,Центральный административный округ,Июль,2025,2157225145.28,2150436455.8841667
1420,Центральный административный округ,Август,2025,2184243305.06,2150436455.8841667
1432,Центральный административный округ,Сентябрь,2025,2175254613.15,2150436455.8841667
1444,Центральный административный округ,Октябрь,2025,2207602218.63,2150436455.8841667
1456,Центральный административный округ,Ноябрь,2025,2218136644.58,2150436455.8841667
1468,Центральный административный округ,Декабрь,2025,2259048983.0,2150436455.8841667
